Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"Švaros akcentas
","
","Perkūnkiemio g. 19, LT-12120 Vilnius.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas; higienos reikmenys.
","
Valymo paslaugos fiziniams ir juridiniams asmenims.
* Kasdienis patalpų valymas
* Generalinis valymas
* Postatybinis/ poremontinis valymas
* Langų, vitrinų, pertvarų valymas
* Fasadų valymas
* Grindų dangos vaškavimas, impregnavimas
* Kiliminių dangų ir minkštų baldų valymas
",https://rekvizitai.vz.lt/imone/svaros_akcentas/
"Švarus Pasaulis
","
Geras valymas
","Vido Maciulevičiaus g. 51B-203A, LT-04310 Vilnius.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas; komunalinės paslaugos.
","
Geras valymas – ilgametę darbo patirtį turinti švaros paslaugų įmonė, kurios tikslas – savo klientams operatyviai ir kokybiškai suteikti itin plataus asortimento valymo paslaugas. Kvalifikuotas personalas gali kokybiškai išvalyti kilimus, kilimines dangas, baldus ar čiužinius, atlikti cheminį valymą ir tai tik maža...
",https://rekvizitai.vz.lt/imone/geras_valymas_svarus_pasaulis/
"Vilniaus statybininkų rengimo centras
","
Pagrindinis, vidurinis ugdymas, profesinis mokymas
","Laisvės pr. 53, LT-07191 Vilnius.","
Veiklos sritys: aukštesniojo ir profesinio mokymo įstaigos; apželdinimas ir aplinkos tvarkymas; fasadas, fasado apdaila; mokymo kursai; santechnika; šildymas, įrenginiai; šiltinimas, renovacija; statyba; valstybinės institucijos; žemės ūkis, paslaugos.
","
VšĮ Vilniaus statybininkų rengimo centras - atvira, moderni, mokymo įstaiga. Čia siūloma įgyti perspektyvias profesijas architektūros ir statybos, informacijos ir ryšio technologijos, inžinerijos ir inžinerines profesijas, verslo ir administravimo bei žemės ūkio kryptyse. Programos nuolat atnaujinamos...
",https://rekvizitai.vz.lt/imone/vilniaus_statybininku_rengimo_centras/
"Agelsta
","
Statyba, statybinės technikos nuoma Kaune
","Uosintos g. 23, Vosbutų k., LT-74394 Jurbarko r.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; inžineriniai tinklai ir sistemos; kelių tiesimas, remontas, tiltai; krautuvai, keltuvai, liftai; metalo konstrukcijos, angarai; statyba; vamzdynai, vandentiekis, nuotekų valymas.
","
Agelsta, UAB - statybinės technikos nuomos paslaugos. Inžinerinės paslaugos, vandens ir nuotekų tinklų įrengimas, polių ir pamatų įrengimas, trinkelių, botelių dėjimas, gerbūvio darbai ir žemės darbai. Smėlio žvyro vežimas. Stogo darbai, grindų įrengimas, šiltinimo darbai, konstrukcijų montavimas ir kiti statybos...
",https://rekvizitai.vz.lt/imone/agelsta/
"Arto kasyba
","
","Pušų g. 1-6, Kalviškių k., LT-14105 Vilniaus r.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; kelių tiesimas, remontas, tiltai.
","
AUTODISA pradėjo veiklą 1997 metais. Per ilgą laikotarpį sukaupėme daug patirties iš praktikos bei mokyų metu.Mūsų suburtas kolektyvas yra vieningas ir atsakingas.Visuomet siekiame auksčiausiso kokybės standartų. Mūsų veikla apima du segmentus: Gerbūvio įrengimas ir Statybos darbai. AUTODISA alieka šias paslaugas:...
",https://rekvizitai.vz.lt/imone/arto_kasyba/
"Autodisa
","
","V. A. Graičiūno g. 10, LT-02241 Vilnius.","
Veiklos sritys: statyba; apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas; griovimas, gręžimas.
","
",https://rekvizitai.vz.lt/imone/autodisa/
"CONSENSA
","
","Pylimo g. 65-2, LT-01137 Vilnius.","
Veiklos sritys: statyba; apželdinimas ir aplinkos tvarkymas; sienos, lubos; ventiliacija, kondicionavimas.
","
Pagrindinė veiklos sritis - statinių projektavimas ir techninė priežiūra, namų statyba, bei apdailos darbai. Mūsų sukauptos patirties dėka esame pajėgūs pasiūlyti platų statybos paslaugų spektrą nuo pamatų iki rakto atidavimo. Mūsų paslaugos apima: individualių namų projektavimas, dokumentų derinimas pamatų...
",https://rekvizitai.vz.lt/imone/consensa/
"Dirginta
","
","Užtvankos g. 5-8, Dainių k., LT-74202 Jurbarko r.","
Veiklos sritys: energetika; apželdinimas ir aplinkos tvarkymas; komunalinės paslaugos; miškininkystė.
","
DIRGINTA – Elektros ir dojotiekio tinklų eksploatacijos, statybos ir jų trasų priežiūros profesionalai. Veiklą vykdome bei plėtojame nuo 2017m. Šiuo metu įmonėje dirba daugiau nei 50 patyrusių kvalifikuotų specialistų, kurių dėka šios paslaugos suteikiamos užtikrinant aukščiausią kokybę. Prie to reikšmingai...
",https://rekvizitai.vz.lt/imone/dirginta/
"EMG FOREST
","
","Žalgirės g. 6-10, Pažėrai, LT-53325 Kauno r.","
Veiklos sritys: aukštalipių paslaugos; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; miškininkystė.
","
MB ‘’EMG Forest’’ pagrindinės veiklos sritys – avarinių medžių pjovimas aukštalipiniu būdu, apleistų sklypų tvarkymas krūmų pjovimas kelmų šalinimas vaismedžių genėjimas gyvatvorių karpymas žaliavos biokurui ruoša bei kiti susiję su aplinkos tvarkymu darbai. NEMOKAMAI valome tankiai medžiais ir krūmais apžėlusius...
",https://rekvizitai.vz.lt/imone/emg_forest/
"GAJAUSTA
","
","Žemaitės g. 5-1, LT-44147 Kaunas.","
Veiklos sritys: vartai, tvoros; apželdinimas ir aplinkos tvarkymas; durys, raktai, spynos.
","
Jums: tvoros, vartai, varteliai iš specialių aliuminio; aliuminio profiliai GA110, GA135, GA90 ir kiti profiliai tvoroms, balkonams, sienelėms; balkono turėklai iš aliuminio; automatika ""Key automation"" kiemo vartams, Stagnoli kelio užtvarai; Superlock durų šerdelės. Atliekame: tvorų, vartų, automatikos ir balkonų...
",https://rekvizitai.vz.lt/imone/gajausta/
"Greenlita
","
","P. Višinskio g. 42-6, LT-44157 Kaunas.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas; daržininkystė, sodininkystė; šviesos sistemos, šviestuvai.
","
Efektyvių buitinių ir pramoninių organinių atliekų kompostavimo įrenginių gamintojo atstovė Lietuvoje Įmonė siūlo šiuolaikiškus įrenginius, skirtus kompostuoti maisto ir kitas organines atliekas privačiuose namuose, daugiabučiuose, maitinimo įstaigose, viešbučiuose, mokyklose. LED šviesos šaltinių, skatinančių...
",https://rekvizitai.vz.lt/imone/greenlita/
"J&E Sports Baltic
","
Easigrass
","Pušaloto g. 170, LT-35291 Panevėžys.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas.
","
Įrengiame ir prekiaujame visų tipų dirbtinės žolės dangomis. Profesionaliai įrengiame: futbolo stadionus bei nestandartines futbolo aikšteles, teniso kortus, multifunkcines sporto aikšteles, dirbtinės žolės pagrindus vaikų žaidimų aikštelėse, kraštovaizdžio dirbtinę žolę, prižiūrime ir renovuojame sporto aikšteles...
",https://rekvizitai.vz.lt/imone/j_e_sports_baltic/
"JK Ranga
","
","Svajonių g. 21, Dembava, LT-38191 Panevėžio r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; fasadas, fasado apdaila; inžineriniai tinklai ir sistemos; transporto paslaugos.
","
JK Ranga – nuo 2004 metų sėkmingai dirbanti ir plečianti savo veiklą įmonė. Užtikrindami paslaugų kokybę ir patikimumą per šį laikotarpį įsitvirtinome rinkoje. Naudojame tik kokybiškas medžiagas, specialią įrangą ir laikomės technologinių reikalavimų. Kokybiškai klojame trinkeles, tveriame tvoras, atliekame...
",https://rekvizitai.vz.lt/imone/jusu_kiemas/
"Juknevičiaus Kompostas
","
","Liepkalnio g. 172, LT-02121 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; daržininkystė, sodininkystė; gėlės ir dekoratyviniai augalai; žemės ūkis, paslaugos.
","
Mes kuriame žemę nuo 1995 metų! Svarbiausia ""Juknevičiaus kompostas"" veikla – kompostinės žemės mišinių gamyba. Kompostas gaminamas išskirtinai tik iš žaliųjų atliekų (lapų, šakų, žolės, šieno). Iš pagaminto komposto ruošiami kompostinės žemės mišiniai tiek kambariniams augalams tiek gėlynų apželdinimui, daržų...
",https://rekvizitai.vz.lt/imone/jukneviciaus_kompostas/
"Kasybos technika
","
","Gurių g. 91-1, LT-13284 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; projektavimas; statybos technika, įranga, nuoma.
","
UAB Kasybos technika įkurta 1996m. Solidžios patirties metų mūsų teikiamos paslaugos išsiplėtė kartu su klientų poreikiais. Profesionalų komanda, kuri konsultuoja, projektuoja ir atlieka visus žemės darbus įmonėms ir privatiems asmenims, yra pasiruošusi naujiems iššūkiams įgyvendinant Jūsų drąsiausias idėjas...
",https://rekvizitai.vz.lt/imone/uab_vzv_kasyba/
"Kelranga
","
","Gėlyno skg. 5, LT-68229 Marijampolė.","
Veiklos sritys: kelių tiesimas, remontas, tiltai; apželdinimas ir aplinkos tvarkymas; elektros instaliacijos darbai.
","
Miesto gatvių, kelių tiesimas ir remontas, želdinių, želdynų įrengimas ir priežiūra, gatvių apšvietimo įrengimas ir eksploatavimas.
",https://rekvizitai.vz.lt/imone/uab_kelranga/
"Litvala
","
","Neravų g. 2B-65, Neravų k., LT-66412 Druskininkai.","
Veiklos sritys: švaros, valymo paslaugos; apželdinimas ir aplinkos tvarkymas; atliekų tvarkymas.
","
UAB „Litvala“ įkurta 2012 metais ir teikia valymo paslaugas, kurių spektras su kiekviena diena platėja. Valymo darbai atliekami sukaupus didelę valymo patirtį prieš įkuriant UAB Litvala, kuri matosi atliktų darbų užfiksuotose nuotraukose, kas byloja, kad ir neįmanoma yra įmanoma.
",https://rekvizitai.vz.lt/imone/uab_litvala/
"Medis ir betonas
","
","J. Dalinkevičiaus g. 2, Naujoji Akmenė, LT-85118 Akmenės r.","
Veiklos sritys: betonas ir betono gaminiai; apželdinimas ir aplinkos tvarkymas; mediena, jos gaminiai; statyba.
","
Betono mišinių gamyba Eksploatuojama nauja, moderni betono gamybos linija. Galime pasiūlyti dvylikos rūšių betono mišinių. Technikos nuoma Nuomojame techniką darbams: - Kranas (iki 25 T); - Statybinis auto bokštelis ( iki 32 m aukščio); - Ekskavatorius CAT; - Kompresorius Kaeser M26; Betonavimo darbams galime...
",https://rekvizitai.vz.lt/imone/medis_ir_betonas/
"Melitera
","
","Girulių g. 5, LT-12124 Vilnius.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; betonas ir betono gaminiai; griovimas, gręžimas.
","
UAB Melitera teikia šias paslaugas: EKSKAVATORIAUS KRAUTUVO NUOMA SU OPERATORIUMI žemės kasimo darbai iki 5 m gylio laikinų kelių įrengimas tranšėjų kasimas (vandentiekiui, dujotiekiui, elektrai) duobių pamatams kasimas žemės stumdymas žemės lyginimas žemės planiravimas augalinio grunto sluoksnio nuėmimas prieš...
",https://rekvizitai.vz.lt/imone/melitera/
"Pasaulio gėlės LT
","
","Tilžės g. 24A, LT-47181 Kaunas.","
Veiklos sritys: gėlės ir dekoratyviniai augalai; apželdinimas ir aplinkos tvarkymas; didmeninė prekyba; mažmeninė prekyba.
","
Skintos, vazoninės gėlės ir floristikos reikmenys - didmeninė mažmeninė prekyba.
daugiau informacijos: www.pasauliogeles.lt/kontaktai/
",https://rekvizitai.vz.lt/imone/pasaulio_geles_lt/
"Projektis
","
Statybų mašinos
","Sandėlių g. 22, LT-45187 Kaunas.","
Veiklos sritys: statybos technika, įranga, nuoma; apželdinimas ir aplinkos tvarkymas; griovimas, gręžimas; krautuvai, keltuvai, liftai; statyba.
","
Statybų technikos nuoma, žemės darbai - pagrindinės Projektis, UAB veiklos. DARBAI Kasimo darbai Kėlimo darbai Griovimo darbai Atliekų tvarkymo darbai Gręžimo darbai Perstūmimo, planiravimo darbai Sniego valymo darbai Medžiagų transportavimo, padavimo darbai STATYBŲ TECHNIKOS NUOMA Bobcat ratinis krautuvas S530...
",https://rekvizitai.vz.lt/imone/projektis/
"Ritos gėlės
","
Ritos gėlės
","Laisvės a. 9C, LT-59126 Prienai.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; gėlės ir dekoratyviniai augalai; mažmeninė prekyba.
","
Išskirtinis gėlių parduotuvės ir floristikos galerijos derinys. Floristikos, aplinkos apželdinimo, renginių ir interjero dekoro profesionalai su daugiau nei dvidešimties metų patirtimi.
",https://rekvizitai.vz.lt/imone/r_naujalienes_geliu_realizavimo_imone/
"Rp Dalys
","
","J. Basanavičiaus al. 61-10A, LT-50192 Kaunas.","
Veiklos sritys: miško, sodo, vejos technika; apželdinimas ir aplinkos tvarkymas; didmeninė prekyba.
","
UAB „RP dalys“ oficiali Vokietijos gamintojo „Ratioparts“ atstovė Lietuvoje, jau dešimtmetį tiekianti aukščiausios kokybės atsargines bei eksploatacines detales sodo, daržo bei miško technikai. Esame Vokietijos įmonės „Ratioparts“, įkurtos 1986 metais ir šiuo metu sandėliuose turinčios daugiau kaip 100000 skirtingų...
",https://rekvizitai.vz.lt/imone/uab_rp_dalys/
"Sprendimai vejai
","
","Lingių g. 17, Akademija, LT-53348 Kauno r.","
Veiklos sritys: trąšos; apželdinimas ir aplinkos tvarkymas.
","
Sveiki, apsilankę Sprendimai vejai puslapyje. Mūsų veiklos istorija prasidėjo nuo įsigytų namų ir, atrodo, lengvai pasiekiamo noro, turėti nepriekaištingą veją. Ilgai trukusios kokybiškų produktų ir priemonių paieškos netenkino lūkesčių, tad teko pasitelkti asmeninę 14-os metų agronomo/ praktiko patirtį ir pačiam...
",https://rekvizitai.vz.lt/imone/sprendimai_vejai/
"Storoma
","
","Mažeikių g. 17C, LT-87101 Telšiai.","
Veiklos sritys: kelių tiesimas, remontas, tiltai; apželdinimas ir aplinkos tvarkymas; statybos technika, įranga, nuoma; transporto paslaugos.
","
UAB „STOROMA“ įregistruota 2013 metais balandžio 3 d. Įmonė atlieka bendruosius ir specialiuosius statybos darbus, atlieka kelių bei gatvių tiesimo drabus, tvarko viešąsias erdves, kultūros ir paveldo objektus. Įmonėje dirba kvalifikuoti ir atestuoti specialistai, nuolat keliantys kvalifikaciją įvairiuose kursuose...
",https://rekvizitai.vz.lt/imone/storoma/
"Žemaitijos trinkloja
","
","Obelų g. 9, Varkalių k., LT-90104 Plungės r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas.
","
Greitai ir kokybiškai pagal jūsų pageidavimus atliekame šias paslaugas. * Įvairių trinkelių klojimas * Vejos bei šaligatvių bortų įrengimas * Laiptų formavimas * Drenažo sistemos įrengimas * Lietaus surinkimo sistemos įrengimas * Žemės kasimo bei lyginimo darbai * Ekskvatoriaus bei mini krautuvo nuoma su patyrusiu...
",https://rekvizitai.vz.lt/imone/zemaitijos_trinkloja/
"Žemeina
","
Alta-Profil
","Perkūnkiemio g. 13-91, LT-12114 Vilnius.","
Veiklos sritys: fasadas, fasado apdaila; apželdinimas ir aplinkos tvarkymas; architektai.
","
UAB „Žemeina“ veikla: Fasado apkala geriausiomis Alta-Siding, BlockHouse, BlockHouse - Slim medžiagomis, karnizų apkalimas „Sofit“ plokštėmis , Alta-Board putų saidingas. UAB „Žemeina“ siūlo vieną didžiausių plastikinių fasasadų asortimentą Europoje. Taip pat prekiaujame vandens nutekėjimo sistema - „Elit“, kuri...
",https://rekvizitai.vz.lt/imone/zemeina/
"Agminta
","
Visos sklypų priežiūros paslaugos
","J. Biliūno g. 15, LT-10150 Vilnius.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; miškininkystė; statybos technika, įranga, nuoma; žemės ūkis, paslaugos.
","
UAB „AGMINTA“ pagrindinė veikla yra mechanizuotas aplinkos tvarkymas, sklypų priežiūra, žemės darbai ir statybinės technikos nuoma. Mechanizuotai ir rankiniu būdu pjauname, kertame krūmus, stambią augmeniją, pjauname-smulkinime miško tipo krūmapjove. Galime nupjauti ir susmulkinti iki 18cm storio krūmus ir medžius...
",https://rekvizitai.vz.lt/imone/agminta/
"Aplinkos ekspertai
","
","Tuopų g. 8-8, Anavilis, LT-14271 Vilniaus r.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas.
","
Aplinkosekspertai.lt – atsakingų, savo srities specialistų komanda, gebanti įgyvendinti unikalius Jūsų aplinkos tvarkymo planus. Esame inovatyvūs. Siekiame būti patikimu, pažangiu ir profesionaliu savo klientų partneriu, kuris atsakingai žiūri į savo darbą ir prižiūri projekto įgyvendinimą nuo pradžių iki pabaigos...
",https://rekvizitai.vz.lt/imone/aplinkos_ekspertai_mb/
"Aušros projektai
","
","Laisvės al. 59, LT-44305 Kaunas.","
Veiklos sritys: apželdinimas ir aplinkos tvarkymas; projektavimas.
","
Apie mus Mes dirbame šioje srityje nuo 2003 metų. Per šį laikotarpį esame sukūrę aibę prestižinių sodų, įgavę nemažai tarptautinės patirties ir pelnę tarptautinį pripažinimą. Mūsų objektų nuotraukos puošia Vokietijos prestižinių medelynų katalogus. Reprezentatyvūs ir išskirtiniai privatūs sodai yra mūsų prekinis...
",https://rekvizitai.vz.lt/imone/ausros_projektai/
"Betoformos
","
","Konstitucijos pr. 15-166, LT-09319 Vilnius.","
Veiklos sritys: betonas ir betono gaminiai; apželdinimas ir aplinkos tvarkymas; statyba; statybinės medžiagos.
","
Nestandartinių betoninių gaminių liejimas ir gamyba. Betoninių mažosios architektūros elementų gamyba: betoniniai suoliukai, betono sienelės, betoninės klombos, betoniniai borteliai, betoniniai elementai, betoniniai vazonai, betoniniai laiptai, betoniniai latakai, betoniniai elementai ir kt..
www.betoformos.lt
",https://rekvizitai.vz.lt/imone/betoformos/
"DD Projects
","
","Laisvės pr. 60-1107, LT-05120 Vilnius.","
Veiklos sritys: akmens gaminiai; apželdinimas ir aplinkos tvarkymas; fasadas, fasado apdaila; statybinės medžiagos.
","
JSC DD Projects (part of RDD Group Europe Branch) - dirbtinė žolė iš Anglijos ir Turkijos - sportui ir laisvalaikiui. Kokybė, greitas pristatymas, garantija iki 8 metų. Didelis pasirinkimas nuo plataus naudojimo dirbtinės žolės landšaftui iki aukščiausios rūšies golfui ir tenisui. - granito gaminiai iš Ukrainos...
",https://rekvizitai.vz.lt/imone/uab_dd_projects/
"Energosistemos
","
Šiluminių ir vandentvarkos objektų statybos
","Taikos pr. 149, LT-52119 Kaunas.","
Veiklos sritys: vamzdynai, vandentiekis, nuotekų valymas; apželdinimas ir aplinkos tvarkymas; energetika; inžineriniai tinklai ir sistemos; projektavimas; santechnika; šildymas, įrenginiai; šiltinimas, renovacija; statyba.
","
Energosistemos, UAB veikla Statyba, požeminių inžinerinių tinklų statyba, vandentiekio kanalizacijos ir nuotekų tinklų statyba, valymo įrenginių statyba, spaudiminių nuotekų tinklų statyba, savitakinių nuotekų tinklų statyba, gelžbetoninių konstrukcijų montavimas, sporto paskirties inžinerinių statinių statyba...
",https://rekvizitai.vz.lt/imone/energosistemos/
"Eram service
","
Kapų priežiūra, tvarkymas. Ravėjimas, apželdinimas
","Vinkšninių k. 4, Vinkšninės, LT-64184 Alytaus r.","
Veiklos sritys: laidojimo paslaugos, kremavimas; apželdinimas ir aplinkos tvarkymas.
","
Eram service teikia: Nuo vienkartines kapaviečių tvarkymo iki sezoninės kapų priežiūros paslaugų (esamų gėlių laistymas ir sudžiūvusių gėlių išmetimas, drėgnas paminklo akmens ar akmens bortelių valymas, senų žvakių ir žvakidžių surinkimas, kapavietės nuotraukos prieš ir po sutvarkymo, mišių užsakymas). Apleistų...
",https://rekvizitai.vz.lt/imone/eram_service/
